"dataset","n_samples","n_taxa","melsi_F","melsi_p","melsi_significant","melsi_time","euclidean_F","euclidean_p","euclidean_significant","euclidean_time"
"Scalability_n20",20,200,1.20796888828611,0.105263157894737,FALSE,74.3068299293518,1.09725250713346,0.184210526315789,FALSE,0.00365209579467773
"Scalability_n50",50,200,1.33516012718237,0.171052631578947,FALSE,72.8563158512115,1.1722910122022,0.0657894736842105,FALSE,0.00567102432250977
"Scalability_n100",100,200,1.45894025085047,0.105263157894737,FALSE,103.031708955765,1.14404204726744,0.0921052631578947,FALSE,0.0189158916473389
"Scalability_n200",200,200,1.75780927197758,0.0131578947368421,TRUE,208.526456832886,1.42509045143143,0.0131578947368421,TRUE,0.0402510166168213
"Scalability_n500",500,200,2.42816070730068,0.0131578947368421,TRUE,929.64705991745,1.97516889266076,0.0131578947368421,TRUE,0.252770900726318
"Scalability_p50",100,50,2.39615163473448,0.0131578947368421,TRUE,65.813050031662,2.1450163728921,0.0131578947368421,TRUE,0.0129020214080811
"Scalability_p100",100,100,1.57985807662995,0.0657894736842105,FALSE,81.7937169075012,1.25131528071295,0.0789473684210526,FALSE,0.0171401500701904
"Scalability_p200",100,200,1.45894025085047,0.105263157894737,FALSE,106.212954044342,1.14404204726744,0.0921052631578947,FALSE,0.0129289627075195
"Scalability_p500",100,500,1.51560057621013,0.0263157894736842,TRUE,326.033153057098,1.17714836190269,0.0263157894736842,TRUE,0.0145189762115479
"Scalability_p1000",100,1000,1.35980033362926,0.118421052631579,FALSE,1150.6529250145,1.04232782209759,0.171052631578947,FALSE,0.0178341865539551
