"Effect_Size","Sample_Size","n_simulations","Traditional_Method","MeLSI_Power","MeLSI_Mean_F","MeLSI_SD_F","Traditional_Power","Traditional_Mean_F","Traditional_SD_F","Power_Difference","F_Difference"
"Small",50,50,"Euclidean",6,1.23,0.141,8,1.014,0.129,-2,0.216
"Small",50,50,"BrayCurtis",6,1.23,0.141,20,1.059,0.158,-14,0.171
"Small",50,50,"Jaccard",6,1.23,0.141,0,0.987,0.175,6,0.243
"Small",50,50,"WeightedUniFrac",6,1.23,0.141,10,1.069,0.274,-4,0.161
"Small",50,50,"UnweightedUniFrac",6,1.23,0.141,6,1.005,0.219,0,0.226
"Small",100,50,"Euclidean",10,1.342,0.121,8,1.041,0.096,2,0.301
"Small",100,50,"BrayCurtis",10,1.342,0.121,20,1.095,0.12,-10,0.247
"Small",100,50,"Jaccard",10,1.342,0.121,6,1.012,0.173,4,0.33
"Small",100,50,"WeightedUniFrac",10,1.342,0.121,8,1.048,0.262,2,0.294
"Small",100,50,"UnweightedUniFrac",10,1.342,0.121,4,1.012,0.198,6,0.331
"Small",200,50,"Euclidean",16,1.432,0.14,16,1.074,0.108,0,0.358
"Small",200,50,"BrayCurtis",16,1.432,0.14,54,1.182,0.112,-38,0.25
"Small",200,50,"Jaccard",16,1.432,0.14,6,0.988,0.207,10,0.444
"Small",200,50,"WeightedUniFrac",16,1.432,0.14,20,1.2,0.285,-4,0.232
"Small",200,50,"UnweightedUniFrac",16,1.432,0.14,4,0.982,0.257,12,0.45
"Medium",50,50,"Euclidean",16,1.307,0.128,32,1.106,0.119,-16,0.201
"Medium",50,50,"BrayCurtis",16,1.307,0.128,74,1.325,0.171,-58,-0.018
"Medium",50,50,"Jaccard",16,1.307,0.128,0,0.961,0.154,16,0.346
"Medium",50,50,"WeightedUniFrac",16,1.307,0.128,32,1.32,0.312,-16,-0.013
"Medium",50,50,"UnweightedUniFrac",16,1.307,0.128,2,0.954,0.201,14,0.353
"Medium",100,50,"Euclidean",50,1.504,0.145,52,1.207,0.131,-2,0.297
"Medium",100,50,"BrayCurtis",50,1.504,0.145,100,1.634,0.17,-50,-0.13
"Medium",100,50,"Jaccard",50,1.504,0.145,4,1.004,0.183,46,0.5
"Medium",100,50,"WeightedUniFrac",50,1.504,0.145,82,1.705,0.361,-32,-0.201
"Medium",100,50,"UnweightedUniFrac",50,1.504,0.145,4,1,0.208,46,0.504
"Medium",200,50,"Euclidean",96,1.78,0.142,100,1.417,0.129,-4,0.362
"Medium",200,50,"BrayCurtis",96,1.78,0.142,100,2.244,0.206,-4,-0.464
"Medium",200,50,"Jaccard",96,1.78,0.142,0,1.005,0.155,96,0.775
"Medium",200,50,"WeightedUniFrac",96,1.78,0.142,100,2.394,0.588,-4,-0.614
"Medium",200,50,"UnweightedUniFrac",96,1.78,0.142,2,0.999,0.195,94,0.781
"Large",50,50,"Euclidean",84,1.585,0.16,98,1.457,0.151,-14,0.128
"Large",50,50,"BrayCurtis",84,1.585,0.16,100,2.794,0.259,-16,-1.209
"Large",50,50,"Jaccard",84,1.585,0.16,10,0.976,0.198,74,0.609
"Large",50,50,"WeightedUniFrac",84,1.585,0.16,98,2.735,0.459,-14,-1.15
"Large",50,50,"UnweightedUniFrac",84,1.585,0.16,8,0.987,0.257,76,0.598
"Large",100,50,"Euclidean",100,2.129,0.146,100,1.966,0.148,0,0.163
"Large",100,50,"BrayCurtis",100,2.129,0.146,100,4.599,0.251,0,-2.47
"Large",100,50,"Jaccard",100,2.129,0.146,4,0.987,0.193,96,1.142
"Large",100,50,"WeightedUniFrac",100,2.129,0.146,100,4.678,0.91,0,-2.549
"Large",100,50,"UnweightedUniFrac",100,2.129,0.146,4,1.012,0.21,96,1.117
"Large",200,50,"Euclidean",100,3.129,0.203,100,2.977,0.242,0,0.153
"Large",200,50,"BrayCurtis",100,3.129,0.203,100,8.236,0.532,0,-5.107
"Large",200,50,"Jaccard",100,3.129,0.203,6,1.002,0.157,94,2.127
"Large",200,50,"WeightedUniFrac",100,3.129,0.203,100,8.659,1.727,0,-5.53
"Large",200,50,"UnweightedUniFrac",100,3.129,0.203,6,1.014,0.207,94,2.116
