"Condition_Type","Condition_Value","n_samples","n_taxa","n_simulations","MeLSI_Mean_F","MeLSI_SD_F","MeLSI_Mean_Time","MeLSI_SD_Time","Euclidean_Mean_F","BrayCurtis_Mean_F","Jaccard_Mean_F","WeightedUniFrac_Mean_F","UnweightedUniFrac_Mean_F","Best_Traditional_Mean_F","Best_Traditional_SD_F","Best_Traditional_Mean_Time","Best_Traditional_SD_Time","MeLSI_Rank"
"vary_n",20,20,200,10,1.132,0.127,486.9,41.9,1.042,1.123,1.031,1.151,1.015,1.266,0.172,0,0,"2/6"
"vary_n",50,50,200,10,1.277,0.085,457.9,4.5,1.085,1.324,0.993,1.268,1.008,1.383,0.142,0.1,0,"2/6"
"vary_n",100,100,200,10,1.497,0.139,513.3,34.6,1.209,1.66,1.078,1.684,1.064,1.788,0.332,0.3,0.2,"3/6"
"vary_n",200,200,200,10,1.836,0.128,739.5,33.1,1.466,2.283,1.026,2.24,1.027,2.39,0.187,0.9,0.6,"3/6"
"vary_n",500,500,200,10,2.511,0.266,2055.8,22.8,2.008,4,1.05,5.135,0.994,5.156,1.277,9,2.2,"3/6"
"vary_p",1000,100,1000,10,1.331,0.071,8633,1227.9,1.036,1.123,1.02,1.147,1.023,1.169,0.08,1,0.7,"1/6"
"vary_p",50,100,50,10,1.666,0.347,244.8,20.4,1.356,2.153,0.964,1.98,1.026,2.448,0.625,0.1,0,"3/6"
"vary_p",100,100,100,10,1.67,0.158,337.5,19.3,1.333,2.144,0.958,2.401,0.989,2.446,0.497,0.2,0.1,"3/6"
"vary_p",200,100,200,10,1.47,0.15,523.4,18.2,1.178,1.614,1.011,1.676,1.063,1.693,0.183,0.3,0.1,"3/6"
"vary_p",500,100,500,10,1.375,0.082,1829,63.1,1.098,1.264,1.028,1.216,1.034,1.367,0.084,0.6,0.4,"1/6"
