"Parameter_Type","Parameter_Value","n_replications","Mean_F","SD_F","Mean_p","SD_p","Mean_Time","SD_Time"
"B",1,25,1.365,0.505,0.421,0.29,32.9,1.3
"B",10,25,1.543,0.128,0.094,0.175,233,4
"B",20,25,1.538,0.126,0.089,0.155,419.8,6.7
"B",30,25,1.53,0.123,0.091,0.156,576.8,6.7
"B",50,25,1.529,0.12,0.093,0.165,760,11.8
"B",100,25,1.528,0.119,0.102,0.165,1284.1,39.8
"m_frac",1,25,1.498,0.115,0.1,0.159,666.7,11.7
"m_frac",0.9,25,1.517,0.118,0.097,0.165,630.3,12.7
"m_frac",0.5,25,1.578,0.126,0.093,0.162,405.2,7
"m_frac",0.7,25,1.551,0.117,0.083,0.155,523.7,8.2
"m_frac",0.8,25,1.53,0.123,0.091,0.156,578.2,8.8
